TPX,TPY,TPZ,TVX,TVY,TVZ
0.0,0.0,1.553482186657257,0.0,0.0,0.441264512385771
0.0,0.0,1.5578372068375987,0.0,0.0,0.4355020180341549
0.0,0.0,1.5621455323007432,0.0,0.0,0.4308325463144227
0.0,0.0,1.5664170618951503,0.0,0.0,0.4271529594407172
0.0,0.0,1.5706602344706546,0.0,0.0,0.4243172575504285
0.0,0.0,1.5748817270260544,0.0,0.0,0.4221492555399694
0.0,0.0,1.5790862831826251,0.0,0.0,0.4204556156570636
0.0,0.0,1.5832766669076652,0.0,0.0,0.41903837250400977
0.0,0.0,1.5874537411701124,0.0,0.0,0.4177074262447028
0.0,0.0,1.5916166342754576,0.0,0.0,0.4162893105345101
0.0,0.0,1.5957629917482397,0.0,0.0,0.4146357472782001
0.0,0.0,1.5998892933874846,0.0,0.0,0.41263016392452023
0.0,0.0,1.6039911921288734,0.0,0.0,0.4101898741388781
0.0,0.0,1.6080638712894362,0.0,0.0,0.407267916056271
0.0,0.0,1.6121023896210152,0.0,0.0,0.4038518331578851
0.0,0.0,1.6161019976307975,0.0,0.0,0.39996080097824016
0.0,0.0,1.6200584100235305,0.0,0.0,0.3956412392733111
0.0,0.0,1.6239680210116134,0.0,0.0,0.39096109880831775
0.0,0.0,1.627828065217673,0.0,0.0,0.3860044206059664
0.0,0.0,1.6316367116083357,0.0,0.0,0.3808646390662539
0.0,0.0,1.6353930859336536,0.0,0.0,0.3756374325317964
0.0,0.0,1.6390972475447403,0.0,0.0,0.37041616110866926
0.0,0.0,1.6427501109536577,0.0,0.0,0.36528634089176515
0.0,0.0,1.6463533223401257,0.0,0.0,0.36032113864679116
0.0,0.0,1.6499091223397566,0.0,0.0,0.35557999996308065
0.0,0.0,1.6534201675933544,0.0,0.0,0.35110452535977243
0.0,0.0,1.6568893686980872,0.0,0.0,0.34692011047328186
0.0,0.0,1.6603197081111558,0.0,0.0,0.34303394130686093
0.0,0.0,1.6637140959090662,0.0,0.0,0.339438779791016
0.0,0.0,1.6670752203043615,0.0,0.0,0.33611243952955316
0.0,0.0,1.6704054485298703,0.0,0.0,0.3330228225508852
0.0,0.0,1.6737067360190707,0.0,0.0,0.3301287489200476
0.0,0.0,1.6769805849618673,0.0,0.0,0.3273848942796561
0.0,0.0,1.680228018051451,0.0,0.0,0.32474330895837744
0.0,0.0,1.6834495918056671,0.0,0.0,0.3221573754216267
0.0,0.0,1.686645431616253,0.0,0.0,0.3195839810585782
0.0,0.0,1.6898152873142096,0.0,0.0,0.31698556979566905
0.0,0.0,1.6929586044050078,0.0,0.0,0.31433170907980845
0.0,0.0,1.6960746049074054,0.0,0.0,0.3116000502397618
0.0,0.0,1.6991623724751834,0.0,0.0,0.30877675677779837
0.0,0.0,1.7022209364729814,0.0,0.0,0.30585639977978685
0.0,0.0,1.7052493500844141,0.0,0.0,0.3028413611432721
0.0,0.0,1.7082467595169013,0.0,0.0,0.299740943248727
0.0,0.0,1.711212459999035,0.0,0.0,0.2965700482133523
0.0,0.0,1.7141459378258457,0.0,0.0,0.2933477826810741
0.0,0.0,1.7170468969027954,0.0,0.0,0.29009590769496496
0.0,0.0,1.7199152701458376,0.0,0.0,0.28683732430423237
0.0,0.0,1.7227512166135894,0.0,0.0,0.2835946467752064
0.0,0.0,1.7255551056443483,0.0,0.0,0.28038890307587816
0.0,0.0,1.728327490865874,0.0,0.0,0.2772385221525443
0.0,0.0,1.7310690759681147,0.0,0.0,0.274158510224083
0.0,0.0,1.7337806756290934,0.0,0.0,0.2711599660978725
0.0,0.0,1.736463173509227,0.0,0.0,0.2682497880133543
0.0,0.0,1.73911748088112,0.0,0.0,0.26543073718929133
0.0,0.0,1.7417444977370118,0.0,0.0,0.2627016855891712
0.0,0.0,1.744345077893806,0.0,0.0,0.260058015679431
0.0,0.0,1.7469200008619858,0.0,0.0,0.2574922968179829
0.0,0.0,1.7494699499054307,0.0,0.0,0.25499490434449135
0.0,0.0,1.7519954983507664,0.0,0.0,0.25255484453358445
0.0,0.0,1.7544971027002911,0.0,0.0,0.25016043495246065
0.0,0.0,1.756975103303776,0.0,0.0,0.2478000603484634
0.0,0.0,1.7594297315129728,0.0,0.0,0.24546282091967636
0.0,0.0,1.7618611218099876,0.0,0.0,0.24313902970147122
0.0,0.0,1.7642693282759936,0.0,0.0,0.2408206466006229
0.0,0.0,1.7666543436863185,0.0,0.0,0.2385015410325067
0.0,0.0,1.7690161199933212,0.0,0.0,0.2361776307002716
0.0,0.0,1.7713545891848872,0.0,0.0,0.2338469191565833
0.0,0.0,1.7736696824192557,0.0,0.0,0.2315093234368355
0.0,0.0,1.7759613476484462,0.0,0.0,0.2291665229190324
0.0,0.0,1.7782295642353705,0.0,0.0,0.2268216586924129
0.0,0.0,1.780474354209725,0.0,0.0,0.2244789974354635
0.0,0.0,1.782695789402382,0.0,0.0,0.2221435192657072
0.0,0.0,1.7848939955167435,0.0,0.0,0.219820611436154
0.0,0.0,1.787069152118813,0.0,0.0,0.2175156602069372
0.0,0.0,1.789221489736668,0.0,0.0,0.21523376178550147
0.0,0.0,1.7913512842390147,0.0,0.0,0.21297945023464843
0.0,0.0,1.7934588486680756,0.0,0.0,0.21075644290607565
0.0,0.0,1.79554452415845,0.0,0.0,0.20856754903746083
0.0,0.0,1.7976086699083793,0.0,0.0,0.20641457499291788
0.0,0.0,1.7996516528313675,0.0,0.0,0.2042982922988425
